,Group,Player,Time,Order,Round,Date,Role,Round.num,Phase,Condition,First,Message,f,p,v,Before.After,playerA.wordcount,playerB.wordcount,playerA.numutterances,playerB.numutterances,playerA.wordsperutterance,playerB.wordsperutterance,Adjacency_pairs,Gender,Age,Education,ProlificPenn
9364,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:55:06,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,yufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9365,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:44:23,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,efo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9366,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:40:48,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,efo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9367,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:40:48,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,rufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9368,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:14:25,B,Round6,4/3/2019,guesser,6,1,unmatched,unmatched,yufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9369,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:14:25,B,Round6,4/3/2019,guesser,6,1,unmatched,unmatched,wowofs,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9370,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:44:05,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,rufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9371,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:44:05,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,wuwofs,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9372,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,10:02:02,F,Round15,3/15/2019,guesser,15,3,matched,unmatched,blupa,0,1,0,before,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9373,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,10:02:02,F,Round15,3/15/2019,guesser,15,3,matched,unmatched,wepo,0,1,0,before,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9374,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:33:37,F,Round3,3/15/2019,guesser,3,1,samespecies,unmatched,wowops,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9375,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:56:01,F,Round12,3/15/2019,guesser,12,2,unmatched,unmatched,nop,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9376,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:40:36,F,Round5,3/15/2019,guesser,5,1,samespecies,unmatched,nepo,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9377,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:33:37,F,Round3,3/15/2019,guesser,3,1,samespecies,unmatched,blupa,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9378,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:33:37,F,Round3,3/15/2019,guesser,3,1,samespecies,unmatched,pilu,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9379,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:56:01,F,Round12,3/15/2019,guesser,12,2,unmatched,unmatched,rupa,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9380,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,10:02:02,F,Round15,3/15/2019,guesser,15,3,matched,unmatched,nepo,0,1,0,before,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9381,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,10:05:14,F,Round17,3/15/2019,guesser,17,3,matched,unmatched,wepo,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9382,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:40:36,F,Round5,3/15/2019,guesser,5,1,samespecies,unmatched,wuwops,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9383,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:33:37,F,Round3,3/15/2019,guesser,3,1,samespecies,unmatched,nepo,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9384,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:33:37,F,Round3,3/15/2019,guesser,3,1,samespecies,unmatched,yupa,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9385,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:51:18,F,Round10,3/15/2019,guesser,10,2,unmatched,unmatched,nepo,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9386,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,10:09:10,F,Round19,3/15/2019,guesser,19,3,matched,unmatched,pilu,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9387,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,10:02:02,F,Round15,3/15/2019,guesser,15,3,matched,unmatched,tupa,0,1,0,before,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9388,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,10:02:02,F,Round15,3/15/2019,guesser,15,3,matched,unmatched,pilu,0,1,0,before,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9389,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:51:18,F,Round10,3/15/2019,guesser,10,2,unmatched,unmatched,wuwops,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9390,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:51:18,F,Round10,3/15/2019,guesser,10,2,unmatched,unmatched,sepo,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9391,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:51:18,F,Round10,3/15/2019,guesser,10,2,unmatched,unmatched,sepo,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
9392,"T02YNq4A_SkpWaX4AAAA,egqWTWfM8CknJBZdAAAB",playerA,9:51:18,F,Round10,3/15/2019,guesser,10,2,unmatched,unmatched,upa,0,1,0,after,138,120,9,9,15.3333333333333,13.3333333333333,0,Male,31,High school diploma,Prolific
